"Provider No.","Facility Name","Facility Type","Facility Subtype","Street Address","City","State","ZIP Code","Telephone","No. of Beds","No. of Certified Beds","No. of Medicaid Nursing Beds","No. of Skilled Nursing Beds","No. of ICF/MR Beds","No. of Physicians","No. of Physician Assistants","No. of Nurse Practitioners","No. of Direct Care Personnel","No. of Other Personnel","Employee Count","Federally Funded Health Center Indicator","Rural Health Center Provider Number","Rural Health Clinic Indicator","Facility Type Description"
"014016","SANCTUARY AT THE WOODLANDS, THE","Hospital","Psychiatric","1910 Cherokee Ave SW","Cullman","Alabama","35055-5502","256-739-1239","","","","","","1.00","","","","32.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"014017","EASTPOINTE HOSPITAL","Hospital","Psychiatric","7400 Roper Ln","Daphne","Alabama","36526","251-378-6500","","","","","","4.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"014018","UNITY PSYCHIATRIC CARE - HUNTSVILLE","Hospital","Psychiatric","5315 Millennium Dr NW","Huntsville","Alabama","35806-2458","256-964-6700","","","","","","1.00","","","","20.50","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"014019","CREEKSIDE HOSPITAL","Hospital","Psychiatric","200 ROWLAND DRIVE","Bridgeport","Alabama","35740","256-695-4495","","","","","","0.00","","","","20.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"019800","UNIVERSITY OF ALABAMA HOSPITAL","Hospital","Transplant Hospitals","619 19th St S","Birmingham","Alabama","35233-1900","205-934-4011","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"019801","CHILDREN'S HOSPITAL OF ALABAMA","Hospital","Transplant Hospitals","1600 7th Ave S","Birmingham","Alabama","35233-1711","205-638-9828","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","Hospital","Short Term","3200 Providence Dr","Anchorage","Alaska","99508-4662","907-562-2211","","","","","","71.00","","","","1132.10","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"020006","MAT-SU REGIONAL MEDICAL CENTER","Hospital","Short Term","2500 S Woodworth Loop","Palmer","Alaska","99645-8984","907-861-6000","","","","","","0.00","","","","375.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"020008","BARTLETT REGIONAL HOSPITAL","Hospital","Short Term","3260 Hospital Dr","Juneau","Alaska","99801-7808","907-796-8900","","","","","","7.00","","","","248.96","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"020012","FAIRBANKS MEMORIAL HOSPITAL","Hospital","Short Term","1650 Cowles St","Fairbanks","Alaska","99701-5907","907-452-8181","","","","","","54.16","","","","969.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"020017","ALASKA REGIONAL HOSPITAL","Hospital","Short Term","2801 Debarr Rd","Anchorage","Alaska","99508-2932","907-276-1131","","","","","","0.00","","","","401.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"020018","YUKON KUSKOKWIM DELTA REG HOSPITAL","Hospital","Short Term","PO BOX 287","Bethel","Alaska","99559","907-543-6300","","","","","","30.00","","","","788.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","Hospital","Short Term","250 Hospital Pl","Soldotna","Alaska","99669-7559","907-262-4404","","","","","","5.48","","","","236.98","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"020026","ALASKA NATIVE MEDICAL CENTER","Hospital","Short Term","4315 Diplomacy Dr","Anchorage","Alaska","99508-5926","907-729-3971","","","","","","183.07","","","","1359.19","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"02003F","US PUBLIC HEALTH SERVICE HOSP","Hospital","Data not provided by CMS","3RD + GAMBLE STS","Anchorage","Alaska","99501","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"02009F","US NAVAL HOSP","Hospital","Data not provided by CMS","P O BOX 11 NAVY 320 SEATTLE WASH","Anchorage","Alaska","99504","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"02010F","US NAVY STATION HOSP","Hospital","Data not provided by CMS","","Kodiak","Alaska","99615","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"02011F","US AIR FORCE DISPENSARY","Hospital","Data not provided by CMS","APO SEATTLE WASHINGTON","Kenai","Alaska","99611","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"02012F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","ELLISTON AFB APO 937 SEATTLE WASH","Eielson AFB","Alaska","99702","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"02015E","HARBORVIEW MEM HOSP","Hospital","Data not provided by CMS","P O BOX 548","Valdez","Alaska","99686","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"021301","PROVIDENCE VALDEZ MEDICAL CENTER","Hospital","Critical Access Hospitals","PO BOX 550","Valdez","Alaska","99686","907-835-2249","","","","","","0.00","","","","58.60","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021302","PROVIDENCE SEWARD MEDICAL CENTER","Hospital","Critical Access Hospitals","417 First Ave","Seward","Alaska","99664-4303","907-224-5205","","","","","","3.15","","","","30.95","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021304","PETERSBURG MEDICAL CENTER","Hospital","Critical Access Hospitals","PO BOX 589","Petersburg","Alaska","99833","907-772-4291","","","","","","4.00","","","","115.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021305","SEARHC WRANGELL MEDICAL CENTER-CAH","Hospital","Critical Access Hospitals","Wood St","Wrangell","Alaska","99929","907-874-7000","","","","","","0.00","","","","17.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021306","PROVIDENCE KODIAK ISLAND MEDICAL CTR","Hospital","Critical Access Hospitals","1915 E Rezanof Dr","Kodiak","Alaska","99615-6602","907-486-9592","","","","","","10.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021307","CORDOVA COMMUNITY MEDICAL CENTER","Hospital","Critical Access Hospitals","602 Chase Ave","Cordova","Alaska","99574-0027","907-424-8000","","","","","","2.00","","","","53.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021308","NORTON SOUND REGIONAL HOSPITAL","Hospital","Critical Access Hospitals","1000 Greg Kruscheck Ave","Nome","Alaska","99762","907-443-3311","","","","","","8.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021309","KANAKANAK HOSPITAL","Hospital","Critical Access Hospitals","P O BOX 130","Dillingham","Alaska","99576","907-842-5201","","","","","","9.00","","","","3.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021310","MANIILAQ HEALTH CENTER","Hospital","Critical Access Hospitals","PO BOX 43","Kotzebue","Alaska","99752","907-442-3321","","","","","","10.00","","","","25.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021311","KETCHIKAN MEDICAL CENTER","Hospital","Critical Access Hospitals","3100 Tongass Ave","Ketchikan","Alaska","99901-5746","907-225-5171","","","","","","15.90","","","","193.50","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021312","SAMUEL SIMMONDS MEMORIAL HOSPITAL","Hospital","Critical Access Hospitals","7000 Uula St","Barrow","Alaska","99723","907-852-4611","","","","","","18.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021313","SOUTH PENINSULA HOSPITAL","Hospital","Critical Access Hospitals","4300 Bartlett St","Homer","Alaska","99603-7005","907-235-8101","","","","","","13.51","","","","236.01","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"021314","SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM","Hospital","Critical Access Hospitals","222 Tongass Dr","Sitka","Alaska","99835-9416","907-966-2411","","","","","","28.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"022001","ST ELIAS SPECIALTY HOSPITAL","Hospital","Long Term","4800 Cordova St","Anchorage","Alaska","99503-7218","907-561-3333","","","","","","0.00","","","","119.00","0.00","Not Applicable","Not Applicable","Not Applicable","Long - Term"
"024001","NORTH STAR HOSPITAL","Hospital","Psychiatric","2530 Debarr Rd","Anchorage","Alaska","99508-2996","907-264-3526","","","","","","0.00","","","","136.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"024002","ALASKA PSYCHIATRIC INSTITUTE","Hospital","Psychiatric","3700 Piper St","Anchorage","Alaska","99508-4677","907-269-7100","","","","","","3.00","","","","178.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","Hospital","Short Term","1111 E Mcdowell Rd","Phoenix","Arizona","85006-2612","602-839-2000","","","","","","20.50","","","","1901.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030006","TUCSON MEDICAL CENTER","Hospital","Short Term","5301 East Grant Road","Tucson","Arizona","85712-2874","520-324-1399","","","","","","7.25","","","","318.75","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030007","VERDE VALLEY MEDICAL CENTER","Hospital","Short Term","269 South Candy Lane","Cottonwood","Arizona","86326-4170","928-773-2357","","","","","","5.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030010","ST. MARY'S HOSPITAL","Hospital","Short Term","1601 West Saint Marys Road","Tucson","Arizona","85745-2682","520-872-3000","","","","","","0.25","","","","811.25","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030011","ST JOSEPH'S HOSPITAL","Hospital","Short Term","350 North Wilmot Road","Tucson","Arizona","85711-2678","520-873-3000","","","","","","1.00","","","","708.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","Hospital","Short Term","1003 Willow Creek Road","Prescott","Arizona","86301-1668","928-445-2700","","","","","","0.00","","","","882.40","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030013","YUMA REGIONAL MEDICAL CENTER","Hospital","Short Term","2400 South Avenue A","Yuma","Arizona","85364-7170","928-336-7600","","","","","","106.00","","","","1163.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030014","HONORHEALTH JOHN C. LINCOLN MEDICAL CENTER","Hospital","Short Term","250 East Dunlap Avenue","Phoenix","Arizona","85020","602-331-5862","","","","","","1.00","","","","952.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030016","BANNER CASA GRANDE MEDICAL CENTER","Hospital","Short Term","1800 East Florence Boulevard","Casa Grande","Arizona","85122-5399","520-381-6300","","","","","","6.00","","","","40.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"03001E","CRIPPLED CHILDRENS HOSP","Hospital","Data not provided by CMS","1825 E Garfield St","Phoenix","Arizona","85006-3651","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"030022","VALLEYWISE HEALTH MEDICAL CENTER","Hospital","Short Term","2601 East Roosevelt Street","Phoenix","Arizona","85008","602-344-5011","","","","","","0.00","","","","2206.75","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030023","FLAGSTAFF MEDICAL CENTER","Hospital","Short Term","1200 North Beaver Street","Flagstaff","Arizona","86001","928-779-3366","","","","","","45.50","","","","830.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030024","ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","Hospital","Short Term","350 West Thomas Road","Phoenix","Arizona","85013","602-406-8225","","","","","","165.00","","","","3197.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"03002E","UNIVERSITY PHYSICIANS HOSPITAL AT KINO, THE","Hospital","Data not provided by CMS","2800 E Ajo Way","Tucson","Arizona","85713-6204","520-294-4471","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"030030","ABRAZO CENTRAL CAMPUS","Hospital","Short Term","2000 West Bethany Home Road","Phoenix","Arizona","85015","602-249-0212","","","","","","11.00","","","","413.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030036","CHANDLER REGIONAL MEDICAL CENTER","Hospital","Short Term","1955 West Frye Road","Chandler","Arizona","85224","480-728-3000","","","","","","19.07","","","","903.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030037","TEMPE ST LUKES HOSPITAL","Hospital","Short Term","1500 South Mill Avenue","Tempe","Arizona","85281-6699","480-784-5566","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030038","HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER","Hospital","Short Term","7400 East Osborn Road","Scottsdale","Arizona","85251","480-882-4004","","","","","","2.00","","","","2602.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030043","CANYON VISTA MEDICAL CENTER","Hospital","Short Term","5700 E Highway 90","Sierra Vista","Arizona","85635-9110","520-263-2220","","","","","","0.00","","","","117.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"03004F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","5150 E Ironwood St","Tucson","Arizona","85707","520-111-1111","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"030055","KINGMAN REGIONAL MEDICAL CENTER","Hospital","Short Term","3269 N Stockton Hill Rd","Kingman","Arizona","86409-3619","928-757-2101","","","","","","69.30","","","","1354.90","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"03005F","US AIR FORCE HOSP - CLOSED","Hospital","Data not provided by CMS","W Luke Ave","Glendale","Arizona","85301","602-111-1111","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"030061","BANNER BOSWELL MEDICAL CENTER","Hospital","Short Term","10401 West Thunderbird Boulevard","Sun City","Arizona","85351","623-832-4000","","","","","","7.00","","","","907.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","Hospital","Short Term","2200 East Show Low Lake Road","Show Low","Arizona","85901","928-537-4375","","","","","","44.00","","","","636.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030064","BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","Hospital","Short Term","1625 North Campbell Avenue","Tucson","Arizona","85719-4330","520-874-4189","","","","","","28.50","","","","2448.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030065","BANNER DESERT MEDICAL CENTER","Hospital","Short Term","1400 South Dobson Road","Mesa","Arizona","85202","480-412-3000","","","","","","10.00","","","","1845.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"030069","HAVASU REGIONAL MEDICAL CENTER","Hospital","Short Term","101 Civic Center Lane","Lake Havasu City","Arizona","86403-5683","928-855-8185","","","","","","0.00","","","","342.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"03006F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","WILLIAMS AFB","Chandler","Arizona","85224","0001112222","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
